鼻x,鼻y,左眼x,左眼y,右眼x,右眼y,左耳x,左耳y,右耳x,右耳y,左肩x,左肩y,右肩x,右肩y,左腕x,左腕y,右腕x,右腕y,左耳肩,右耳肩,左耳腕,右耳腕,左耳眼,右耳眼,左耳壁,右耳壁,上耳壁,下耳壁,鼻颈角,肩壁角,category
132.2699738,84.75058746,143.7298889,64.21825409,122.7200546,64.21825409,159.0097656,69.47071075,109.3501587,68.03822327,176.1996307,152.0775604,92.16030121,149.6900787,-1,-1,-1,-1,84.37643673,83.44169642,174.8406308,130.1669459,16.15744204,13.90490136,169.4396154,158.4348151,84.85808595,171.3026385,92,89,0
133.4732666,84.50167847,145.0003662,69.13220215,121.9461517,67.6913147,158.4486542,88.34404755,108.4978638,92.18641663,183.424057,172.8761597,81.60128021,182.9623871,214.1630096,257.4082642,-1,-1,88.14447644,94.67683465,178.0078615,143.782789,23.45104375,27.94398804,163.3357602,151.7876574,84.67874769,171.5856373,90,95,0
133.0299225,86.75579071,144.5991821,68.91983795,123.3888702,67.47368622,158.0966644,88.20194244,109.8913956,90.61220551,185.0916138,173.0432129,80.96823883,183.1663055,212.0865479,257.8844604,-1,-1,89.03240119,96.96808975,178.0647759,143.8391387,23.53681334,26.78755116,163.0289566,150.8163501,86.90148067,169.3189372,91,95,0
142.9382782,102.8455124,156.8835907,82.92363739,127.0007858,82.92363739,172.8210907,98.86113739,113.0554733,94.87676239,210.6726532,230.3454895,69.22734833,216.8982391,-1,-1,-1,-1,136.8242509,129.6539445,200.4645064,149.0000153,22.53902865,18.36706122,175.2603854,146.732023,103.92474,153.8812829,89,85,0
144.9304657,105.3357468,158.8757782,86.90801239,128.9929657,85.41387177,172.8210907,101.3513718,113.0554733,97.36699677,206.6882782,222.3767548,67.23516083,220.8826141,-1,-1,-1,-1,125.674698,131.7406876,201.7165706,150.6144649,20.07691138,19.9218689,174.8636005,146.1900085,106.687676,151.6125254,87,90,0
142.9382782,105.3357468,156.8835907,86.90801239,128.9929657,85.41387177,172.8210907,101.3513718,113.0554733,94.87676239,208.6804657,228.8513489,71.21953583,216.8982391,-1,-1,-1,-1,132.44674,128.9941334,201.7165706,149.0000153,21.50847592,18.53510081,174.8636005,146.732023,106.3897161,151.4030031,89,86,0
140.9460907,106.8298874,156.8835907,86.90801239,127.0007858,86.90801239,172.8210907,101.3513718,113.0554733,94.87676239,204.6960907,218.3923798,75.20391083,212.9138641,-1,-1,-1,-1,121.3038053,123.9576467,201.7165706,149.0000153,21.50847592,16.06152911,174.8636005,146.732023,107.611459,149.7308377,90,88,0
140.9460907,106.8298874,156.8835907,86.90801239,128.9929657,85.41387177,172.8210907,101.3513718,113.0554733,90.89238739,206.6882782,222.3767548,71.21953583,216.8982391,-1,-1,-1,-1,125.674698,132.7694255,201.7165706,146.467955,21.50847592,16.85282755,174.8636005,147.6824723,107.611459,149.7308377,89,88,0
142.9382782,105.3357468,158.8757782,86.90801239,128.9929657,85.41387177,172.8210907,101.3513718,113.0554733,97.36699677,206.6882782,224.8669739,69.22734833,218.3923798,-1,-1,-1,-1,128.07455,128.7169292,201.7165706,150.6144649,20.07691138,19.9218689,174.8636005,146.1900085,106.3897161,151.4030031,88,88,0
142.9382782,105.3357468,158.8757782,86.90801239,128.9929657,85.41387177,172.8210907,102.8455124,113.0554733,97.36699677,208.6804657,224.8669739,71.21953583,216.8982391,-1,-1,-1,-1,127.1814917,126.6410817,202.478794,150.6144649,21.17724361,19.9218689,174.6421416,146.1900085,106.3897161,151.4030031,89,87,0
142.9382782,102.8455124,156.8835907,85.41387177,127.0007858,82.92363739,172.8210907,94.87676239,113.0554733,94.87676239,204.6960907,220.8826141,71.21953583,216.8982391,-1,-1,-1,-1,129.9749603,128.9941334,198.5097608,149.0000153,18.53510737,18.36706122,175.9666965,146.732023,103.92474,153.8812829,88,89,0
142.9382782,109.3201218,158.8757782,89.39824677,127.0007858,86.90801239,172.8210907,105.3357468,113.0554733,94.87676239,198.7195282,214.4080048,73.21172333,210.4236298,-1,-1,-1,-1,112.1048015,122.2235778,203.7671775,149.0000153,21.17724361,16.06152911,174.3008829,146.732023,110.3360375,147.4385934,87,89,0
140.9460907,102.8455124,154.8914032,82.92363739,127.0007858,82.92363739,170.8289032,98.86113739,111.0632858,93.38262177,208.6804657,226.3611145,73.21172333,212.9138641,-1,-1,-1,-1,132.9999434,125.3812533,198.7395752,146.5136831,22.53902865,19.06290273,173.296242,149.0134692,103.6571304,153.7006777,91,85,0
148.9148407,106.8298874,162.8601532,89.39824677,128.9929657,90.89238739,178.7976532,94.87676239,105.0867233,105.3357468,220.6335907,169.0857391,77.19609833,169.0857391,-1,-1,-1,-1,85.18930623,69.5841109,203.763465,150.2054723,16.85283477,27.93061142,181.8399012,152.6056534,108.8579598,150.6291906,91,90,0
125.0085983,98.86113739,142.9382782,85.41387177,107.0789108,85.41387177,162.8601532,97.36699677,89.14922333,93.38262177,198.7195282,181.0388641,49.30546951,174.5642548,-1,-1,-1,-1,91.03228089,90.432197,191.1183295,130.5180515,23.23269896,19.6207714,165.7160535,170.4040626,98.90638488,157.1673332,90,88,0
125.0085983,89.39824677,142.9382782,73.46074677,107.0789108,73.46074677,160.8679657,86.90801239,87.15703583,85.41387177,204.6960907,178.5486298,37.35234451,177.0544891,-1,-1,-1,-1,101.5820225,104.300096,184.1984174,123.4464264,22.41210938,23.23269896,166.0332913,174.1307694,89.44828119,166.628607,88,90,0
119.0320358,97.36699677,136.9617157,85.41387177,101.1023483,82.92363739,156.8835907,93.38262177,83.17266083,90.89238739,194.7351532,174.5642548,41.33671951,177.0544891,-1,-1,-1,-1,89.57230777,95.78180288,183.9437618,124.6164022,21.45651603,19.6207714,160.6574739,176.7661282,97.77912068,158.886293,90,90,0
121.0242233,97.36699677,136.9617157,82.92363739,103.0945358,82.92363739,156.8835907,93.38262177,85.16484833,93.38262177,194.7351532,174.5642548,43.32890701,174.5642548,-1,-1,-1,-1,89.57230777,91.32745218,183.9437618,127.7985148,22.50047683,20.75726495,160.6574739,174.3072343,97.61656375,158.7863066,89,90,0
125.0085983,97.36699677,142.9382782,82.92363739,109.0710983,81.42949677,160.8679657,94.87676239,89.14922333,90.89238739,196.7273407,174.5642548,45.32109451,174.5642548,-1,-1,-1,-1,87.38415884,94.45573707,188.1318471,128.7287587,21.54880254,22.05509924,164.2426597,170.927343,97.41293827,158.6612057,88,90,0
115.0476608,94.87676239,130.9851532,82.92363739,97.11797333,81.42949677,150.9070282,93.38262177,79.18828583,90.89238739,192.7429657,173.0701141,39.34453201,178.5486298,-1,-1,-1,-1,90.00190057,96.28676724,178.8402206,121.9605348,22.50047683,20.27362801,154.826658,180.6636576,95.75679157,161.6430041,91,92,0
117.0398483,94.87676239,132.9773407,81.42949677,99.11016083,81.42949677,150.9070282,94.87676239,79.18828583,89.39824677,190.7507782,173.0701141,39.34453201,181.0388641,-1,-1,-1,-1,87.75947055,99.92761115,179.6332341,120.8387529,22.41210938,21.45651603,154.4994499,180.976456,95.50772202,161.4955808,89,93,0
119.0320358,94.87676239,134.9695282,81.42949677,99.11016083,81.42949677,152.8992157,93.38262177,79.18828583,89.39824677,194.7351532,174.5642548,39.34453201,181.0388641,-1,-1,-1,-1,91.32745043,99.92761115,180.5354477,120.8387529,21.54880254,21.45651603,156.7690436,180.976456,95.29965594,161.3726187,89,92,0
119.0320358,94.87676239,134.9695282,81.42949677,101.1023483,81.42949677,152.8992157,93.38262177,79.18828583,90.89238739,192.7429657,173.0701141,39.34453201,178.5486298,-1,-1,-1,-1,89.09332665,96.28676724,180.5354477,121.9605348,21.54880254,23.86990646,156.7690436,180.6636576,95.29965594,161.3726187,88,92,0
119.0320358,94.87676239,134.9695282,81.42949677,99.11016083,81.42949677,152.8992157,93.38262177,79.18828583,90.89238739,192.7429657,173.0701141,39.34453201,178.5486298,-1,-1,-1,-1,89.09332665,96.28676724,180.5354477,121.9605348,21.54880254,22.05509924,156.7690436,180.6636576,95.29965594,161.3726187,88,92,0
126.2103577,147.783783,139.8174286,136.120575,112.6032867,137.578476,153.4244995,145.3539429,97.05234528,151.671524,184.5263824,207.5577087,67.89433289,211.4454498,-1,-1,-1,-1,69.54592447,66.50648006,212.7590248,181.446567,16.44407073,20.98680026,154.402838,160.7006471,147.7946187,108.2310143,90,91,0
